station,year,month,day,time,is_row_bad,Level,Battery
19160,2009,1,10,500,0,9.98,11.6
19160,2009,1,10,600,0,9.98,11.6
19160,2009,1,10,700,0,9.98,11.6
19160,2009,1,10,800,0,9.98,11.6
19160,2009,1,10,900,0,9.98,11.6
19160,2009,1,10,1000,0,9.98,11.6
19160,2009,1,10,1100,0,9.98,11.6
19160,2009,1,10,1200,0,9.98,11.6
19160,2009,1,10,1300,0,9.98,11.6
19160,2009,1,10,1400,0,9.98,11.6
19160,2009,1,10,1500,0,9.98,11.6
19160,2009,1,10,1600,0,9.98,11.6
19160,2009,1,10,1700,0,9.98,11.6
19160,2009,1,10,1800,0,9.98,11.6
19160,2009,1,10,1900,0,9.98,11.6
19160,2009,1,10,2000,0,9.98,11.6
19160,2009,1,10,2100,0,9.98,11.6
19160,2009,1,10,2200,0,9.98,11.5
19160,2009,1,10,2300,0,9.98,11.5
19160,2009,1,10,2400,0,9.98,11.5
19160,2009,1,11,100,0,9.98,11.5
19160,2009,1,11,200,0,9.98,11.5
19160,2009,1,11,300,0,9.98,11.5
19160,2009,1,11,400,0,9.98,11.5
19160,2009,1,11,500,0,9.98,11.5
19160,2009,1,11,600,1,9.98,11.4
19160,2009,1,11,700,0,9.98,11.5
19160,2009,1,11,800,0,9.98,11.5
19160,2009,1,11,900,0,9.98,11.5
19160,2009,1,11,1000,0,9.98,11.5
19160,2009,1,11,1100,0,9.98,11.5
19160,2009,1,11,1200,0,9.98,11.5
19160,2009,1,11,1300,0,9.98,11.5
19160,2009,1,11,1400,0,9.98,11.5
19160,2009,1,11,1500,0,9.98,11.5
19160,2009,1,11,1600,0,9.98,11.5
19160,2009,1,11,1700,0,9.98,11.5
19160,2009,1,11,1800,0,9.98,11.5
19160,2009,1,11,1900,0,9.98,11.5
19160,2009,1,11,2000,0,9.98,11.5
19160,2009,1,11,2100,1,9.98,11.5
19160,2009,1,11,2200,1,9.98,11.5
19160,2009,1,11,2300,1,9.98,11.5
19160,2009,1,11,2400,1,9.98,11.5
19160,2009,1,12,100,1,9.98,11.5
19160,2009,1,12,200,1,9.98,11.5
19160,2009,1,12,300,1,9.98,11.5
19160,2009,1,12,400,1,9.98,11.4
19160,2009,1,12,500,1,9.98,11.4
19160,2009,1,12,600,1,9.98,11.4
19160,2009,1,12,700,1,9.98,11.4
19160,2009,1,12,800,1,9.98,11.4
19160,2009,1,12,900,1,9.98,11.4
19160,2009,1,12,1000,1,9.98,11.4
19160,2009,1,12,1100,1,9.98,11.4
19160,2009,1,12,1200,1,9.98,11.4
19160,2009,1,12,1300,1,9.98,11.4
19160,2009,1,12,1400,1,9.98,11.4
19160,2009,1,12,1500,1,9.98,11.4
19160,2009,1,12,1600,1,9.98,11.4
19160,2009,1,12,1700,1,9.98,11.4
19160,2009,1,12,1800,1,9.98,11.4
19160,2009,1,12,1900,1,9.98,11.4
19160,2009,1,12,2000,1,9.98,11.4
19160,2009,1,12,2100,1,9.98,11.4
19160,2009,1,12,2200,1,9.98,11.4
19160,2009,1,12,2300,1,9.98,11.4
19160,2009,1,12,2400,1,9.98,11.4
19160,2009,1,13,100,1,9.98,11.4
19160,2009,1,13,200,1,9.98,11.4
19160,2009,1,13,300,1,9.98,11.4
19160,2009,1,13,400,1,9.98,11.4
19160,2009,1,13,500,1,9.98,11.3
19160,2009,1,13,600,1,9.98,11.3
19160,2009,1,13,700,1,9.98,11.3
19160,2009,1,13,800,1,9.98,11.3
19160,2009,1,13,900,1,9.98,11.3
19160,2009,1,13,1000,1,9.98,11.3
19160,2009,1,13,1100,1,9.98,11.3
19160,2009,1,13,1200,1,9.98,11.3
19160,2009,1,13,1300,1,9.98,11.4
19160,2009,1,13,1400,1,9.98,11.4
19160,2009,1,13,1500,1,9.98,11.4
19160,2009,1,13,1600,1,9.98,11.3
19160,2009,1,13,1700,1,9.98,11.3
19160,2009,1,13,1800,1,9.98,11.3
19160,2009,1,13,1900,1,9.98,11.3
19160,2009,1,13,2000,1,9.98,11.3
19160,2009,1,13,2100,1,9.98,11.3
19160,2009,1,13,2200,1,9.98,11.3
19160,2009,1,13,2300,1,9.98,11.3
19160,2009,1,13,2400,1,9.98,11.3
19160,2009,1,14,100,1,9.98,11.3
19160,2009,1,14,200,1,9.98,11.3
19160,2009,1,14,300,1,9.98,11.2
19160,2009,1,14,400,1,9.98,11.2
19160,2009,1,14,500,1,9.98,11.2
19160,2009,1,14,600,1,9.98,11.2
19160,2009,1,14,700,1,9.98,11.2
19160,2009,1,14,800,1,9.98,11.2
19160,2009,1,14,900,1,9.98,11.2
19160,2009,1,14,1000,1,9.98,11.2
19160,2009,1,14,1100,1,9.98,11.2
19160,2009,1,14,1200,1,9.98,11.3
19160,2009,1,14,1300,1,9.98,11.3
19160,2009,1,14,1400,1,9.98,11.3
19160,2009,1,14,1500,1,9.98,11.3
19160,2009,1,14,1600,1,9.98,11.3
19160,2009,1,14,1700,1,9.98,11.2
19160,2009,1,14,1800,1,9.98,11.2
19160,2009,1,14,1900,1,9.98,11.2
19160,2009,1,14,2000,1,9.98,11.2
19160,2009,1,14,2100,1,9.98,11.2
19160,2009,1,14,2200,1,9.98,11.2
19160,2009,1,14,2300,1,9.98,11.2
19160,2009,1,14,2400,1,9.98,11.2
